143379,412.423.346.186.800,56159
22903,182.771.084.534.359,5365
79098,412.423.346.186.800,9456
57586,182.771.084.534.359,9378
122769,182.771.084.534.359,3604
4681,182.771.084.534.359,7917
79363,412.423.346.186.800,80199
23564,412.423.346.186.800,9319
30819,182.771.084.534.359,3751
10742,412.423.346.186.800,1488
2978,182.771.084.534.359,3000
23132,182.771.084.534.359,367
11275,412.423.346.186.800,59349
27330,113.033.111.253.752,3164
4520,412.423.346.186.800,8907
154075,412.423.346.186.800,2189
28966,113.033.111.253.752,6457
2592,412.423.346.186.800,9319
27123,733.226.324.163.718,4040
11103,412.423.346.186.800,2130
10421,733.226.324.163.718,914
10421,182.771.084.534.359,24148
10725,182.771.084.534.359,50943
3207,182.771.084.534.359,51053
51450,182.771.084.534.359,6663
25825,999.804.013.631.297,351
6734,182.771.084.534.359,6746
261734,182.771.084.534.359,4867
10626,113.033.111.253.752,9869
51594,113.033.111.253.752,93145
23683,99.999.870.208.036,2931
79866,471.573.093.994.204,9638
219771,182.771.084.534.359,7532
435,412.423.346.186.800,5859
117194,182.771.084.534.359,1325
4494,182.771.084.534.359,6462
187,182.771.084.534.359,8862
10635,182.771.084.534.359,5888
3613,113.033.111.253.752,9709
168417,412.423.346.186.800,4188
10939,113.033.111.253.752,1912
80196,182.771.084.534.359,9093
10024,182.771.084.534.359,705
1609,182.771.084.534.359,387
10154,182.771.084.534.359,8482
4978,182.771.084.534.359,5621
2020,182.771.084.534.359,3170
57707,412.423.346.186.800,9319
203,182.771.084.534.359,2274
20,182.771.084.534.359,55755
115761,412.423.346.186.800,9319
11274,412.423.346.186.800,9636
1382,182.771.084.534.359,896
6398,182.771.084.534.359,924
10467,182.771.084.534.359,1460
8778,412.423.346.186.800,9319
5756,182.771.084.534.359,70
5756,182.771.084.534.359,659
26256,182.771.084.534.359,2932
3628,113.033.111.253.752,3978
64743,182.771.084.534.359,7046
22796,971.245.704.978.182,83548
22796,971.245.704.978.182,25839
220134,412.423.346.186.800,256369
56905,113.033.111.253.752,6176
11141,182.771.084.534.359,23413
55291,182.771.084.534.359,7532
285596,412.423.346.186.800,8985
117156,182.771.084.534.359,8685
1412,412.423.346.186.800,57658
3015,182.771.084.534.359,3619
393,182.771.084.534.359,4893
10231,733.226.324.163.718,5530
696,733.226.324.163.718,7498
22872,182.771.084.534.359,6396
196441,412.423.346.186.800,22981
4495,182.771.084.534.359,6462
117247,182.771.084.534.359,29127
27158,182.771.084.534.359,54205
26235,182.771.084.534.359,6500
23161,182.771.084.534.359,2778
501,113.033.111.253.752,9400
10434,182.771.084.534.359,302
151449,182.771.084.534.359,655
25764,182.771.084.534.359,3064
286451,412.423.346.186.800,78992
23348,182.771.084.534.359,998
5314,182.771.084.534.359,819
10483,412.423.346.186.800,9871
10483,412.423.346.186.800,9632
259173,182.771.084.534.359,5868
5948,182.771.084.534.359,9227
10553,182.771.084.534.359,57727
10569,412.423.346.186.800,53938
51329,182.771.084.534.359,84100
151188,182.771.084.534.359,84100
2979,182.771.084.534.359,2986
2979,182.771.084.534.359,3000
1670,182.771.084.534.359,5644
284114,182.771.084.534.359,7532
1826,182.771.084.534.359,5058
4239,182.771.084.534.359,6441
204474,182.771.084.534.359,30001
5214,182.771.084.534.359,8655
11020,412.423.346.186.800,51668
54443,182.771.084.534.359,989
170463,412.423.346.186.800,8861
146760,182.771.084.534.359,4974
57634,182.771.084.534.359,8295
27022,182.771.084.534.359,5460
85456,733.226.324.163.718,8658
2635,182.771.084.534.359,9448
11082,182.771.084.534.359,3689
55070,182.771.084.534.359,64326
50617,182.771.084.534.359,5213
153733,412.423.346.186.800,374618
55209,412.423.346.186.800,7186
1730,182.771.084.534.359,51517
1730,182.771.084.534.359,29984
29952,182.771.084.534.359,54464
115352,182.771.084.534.359,7535
1345,471.573.093.994.204,5764
138474,182.771.084.534.359,6908
10598,733.226.324.163.718,3320
54665,182.771.084.534.359,5566
30835,182.771.084.534.359,3384
30835,971.245.704.978.182,3385
5698,182.771.084.534.359,5699
1544,182.771.084.534.359,5447
6903,182.771.084.534.359,6904
132158,412.423.346.186.800,9319
1496,182.771.084.534.359,5784
11319,182.771.084.534.359,2908
2224,182.771.084.534.359,2260
123,182.771.084.534.359,375
10042,182.771.084.534.359,22927
64137,182.771.084.534.359,9619
84171,412.423.346.186.800,9319
26586,182.771.084.534.359,7532
10692,182.771.084.534.359,7046
121549,182.771.084.534.359,6938
51700,412.423.346.186.800,9319
4536,182.771.084.534.359,6714
201965,412.423.346.186.800,79734
10478,182.771.084.534.359,5824
282616,182.771.084.534.359,3588
55109,182.771.084.534.359,8742
2589,9.975.967.589.632,4582
10916,113.033.111.253.752,1915
1465,182.771.084.534.359,87
27085,182.771.084.534.359,4193
55092,113.033.111.253.752,6182
23305,182.771.084.534.359,5264
10881,182.771.084.534.359,26136
5161,182.771.084.534.359,5162
30062,182.771.084.534.359,5080
4649,471.573.093.994.204,81488
4649,113.033.111.253.752,998
79736,113.033.111.253.752,9789
4513,182.771.084.534.359,900
151112,412.423.346.186.800,4110
50856,182.771.084.534.359,5777
11264,182.771.084.534.359,5824
1525,412.423.346.186.800,2130
357,182.771.084.534.359,7532
9833,182.771.084.534.359,994
5837,182.771.084.534.359,6271
3475,113.033.111.253.752,6016
26354,182.771.084.534.359,7157
10480,471.573.093.994.204,8665
56993,182.771.084.534.359,9804
279,182.771.084.534.359,2813
1557,182.771.084.534.359,5447
116369,182.771.084.534.359,29127
30012,182.771.084.534.359,4211
114907,182.771.084.534.359,6500
3703,113.033.111.253.752,55355
1056,182.771.084.534.359,4057
135112,971.245.704.978.182,196
135112,182.771.084.534.359,2099
135112,733.226.324.163.718,2100
25870,471.573.093.994.204,55294
4643,182.771.084.534.359,60
18,182.771.084.534.359,7915
23677,182.771.084.534.359,7532
50805,182.771.084.534.359,5914
1778,182.771.084.534.359,81565
1778,182.771.084.534.359,7532
1778,182.771.084.534.359,8655
2694,182.771.084.534.359,8029
1442,182.771.084.534.359,5618
1193,182.771.084.534.359,6399
257313,182.771.084.534.359,2837
25917,182.771.084.534.359,51691
5651,182.771.084.534.359,6690
254887,182.771.084.534.359,4842
84270,182.771.084.534.359,8915
7568,182.771.084.534.359,7727
7568,471.573.093.994.204,9001
135927,412.423.346.186.800,3104
124056,733.226.324.163.718,5879
55300,182.771.084.534.359,846
23184,182.771.084.534.359,4041
124930,113.033.111.253.752,6176
10961,182.771.084.534.359,3309
201266,182.771.084.534.359,219738
348995,182.771.084.534.359,79023
57695,182.771.084.534.359,7532
10294,182.771.084.534.359,3303
5145,182.771.084.534.359,5147
133746,182.771.084.534.359,2033
5281,182.771.084.534.359,54872
5281,182.771.084.534.359,84720
11129,182.771.084.534.359,57396
11129,182.771.084.534.359,4088
11129,412.423.346.186.800,84528
23601,182.771.084.534.359,7305
27063,182.771.084.534.359,7273
27063,182.771.084.534.359,84665
566,182.771.084.534.359,7272
163081,412.423.346.186.800,51776
54165,412.423.346.186.800,9802
54165,412.423.346.186.800,56658
2118,182.771.084.534.359,6722
2255,182.771.084.534.359,2263
255928,182.771.084.534.359,83851
2981,182.771.084.534.359,3000
26234,182.771.084.534.359,6500
114,182.771.084.534.359,801
6726,733.226.324.163.718,6727
56005,471.573.093.994.204,7917
4534,182.771.084.534.359,54545
2108,182.771.084.534.359,2109
51367,182.771.084.534.359,54913
148223,412.423.346.186.800,79173
5522,182.771.084.534.359,6904
252839,113.033.111.253.752,29058
10694,182.771.084.534.359,60
27127,971.245.704.978.182,9126
25802,182.771.084.534.359,60
51806,182.771.084.534.359,7053
55768,182.771.084.534.359,5887
285135,182.771.084.534.359,8852
64398,182.771.084.534.359,8825
113174,471.573.093.994.204,4140
1902,182.771.084.534.359,2773
2272,182.771.084.534.359,7329
2272,182.771.084.534.359,2934
11004,182.771.084.534.359,64946
112476,471.573.093.994.204,6616
27344,182.771.084.534.359,5122
348980,971.245.704.978.182,610
2168,182.771.084.534.359,5468
2168,182.771.084.534.359,5465
2300,182.771.084.534.359,659
50511,182.771.084.534.359,9126
4709,113.033.111.253.752,509
10124,182.771.084.534.359,3838
51143,182.771.084.534.359,79902
51143,182.771.084.534.359,5867
22902,471.573.093.994.204,9094
201299,182.771.084.534.359,7486
56652,471.573.093.994.204,64400
54514,182.771.084.534.359,55124
10406,471.573.093.994.204,5764
10494,412.423.346.186.800,11235
23293,182.771.084.534.359,7015
1628,182.771.084.534.359,3131
10979,182.771.084.534.359,54751
222484,733.226.324.163.718,8650
1745,182.771.084.534.359,4089
130951,412.423.346.186.800,1406
169792,412.423.346.186.800,51684
1393,182.771.084.534.359,7349
157310,182.771.084.534.359,5604
51706,182.771.084.534.359,54205
79872,182.771.084.534.359,999
29086,412.423.346.186.800,9577
165,182.771.084.534.359,6929
170591,182.771.084.534.359,6286
23254,182.771.084.534.359,5493
408050,182.771.084.534.359,56926
1327,182.771.084.534.359,4512
4682,182.771.084.534.359,4692
270,182.771.084.534.359,4620
159989,412.423.346.186.800,3437
10677,182.771.084.534.359,1398
114327,182.771.084.534.359,777
114327,412.423.346.186.800,56159
2632,113.033.111.253.752,5226
143684,412.423.346.186.800,83755
1675,182.771.084.534.359,5345
25930,113.033.111.253.752,57062
445,471.573.093.994.204,64400
55095,182.771.084.534.359,7532
11064,182.771.084.534.359,8717
143,733.226.324.163.718,9961
137868,182.771.084.534.359,1756
