YBR174C,126.299.948.542.569,YJR091C
YDR538W,126.299.948.542.569,YGL044C
YMR185W,573.290.479.777.183,YPL235W
YCL049C,126.299.948.542.569,YKL002W
YOR146W,126.299.948.542.569,YPL194W
YKL087C,59.764.790.426.787,YLR285W
YIL127C,573.290.479.777.183,YMR049C
YGL209W,544.498.967.386.216,YMR239C
YER184C,126.299.948.542.569,YGL127C
YBR015C,363.330.446.239.122,YGR260W
YDR371W,126.299.948.542.569,YIR038C
YIL041W,573.290.479.777.183,YJR032W
YDL196W,126.299.948.542.569,YER071C
YEL039C,363.330.446.239.122,YHR195W
YLR281C,363.330.446.239.122,YLR438C-A
YOR331C,126.299.948.542.569,YPR105C
YMR097C,126.299.948.542.569,YPL154C
YER123W,573.290.479.777.183,YHR135C
YLR050C,126.299.948.542.569,YLR288C
YDR003W,126.299.948.542.569,YML001W
YAR075W,573.290.479.777.183,YML056C
YGL138C,126.299.948.542.569,YGR123C
YMR053C,812.962.790.923.786,YOL004W
YGR065C,126.299.948.542.569,YJL199C
YBR058C-A,544.498.967.386.216,YDR062W
YBR058C-A,544.498.967.386.216,YMR296C
YDR514C,126.299.948.542.569,YNL173C
YPL141C,544.498.967.386.216,YPL240C
YNL226W,126.299.948.542.569,YPL211W
YDL139C,126.299.948.542.569,YGL153W
YER163C,126.299.948.542.569,YOL061W
YER037W,573.290.479.777.183,YOL086C
YER037W,126.299.948.542.569,YER052C
YHR067W,126.299.948.542.569,YOR264W
YIL009C-A,845.928.714.415.022,YML092C
YER033C,573.290.479.777.183,YGR240C
YFR005C,544.498.967.386.216,YLL036C
YBR071W,573.290.479.777.183,YOR361C
YBL113C,573.290.479.777.183,YGR192C
YDR424C,573.290.479.777.183,YDR488C
YFL065C,126.299.948.542.569,YLR415C
YDR426C,573.290.479.777.183,YPL106C
YBL095W,126.299.948.542.569,YLR453C
YBL095W,126.299.948.542.569,YBR162C
YBR178W,126.299.948.542.569,YHR122W
YOR215C,573.290.479.777.183,YPL204W
YMR195W,126.299.948.542.569,YOR059C
YGL217C,126.299.948.542.569,YJR091C
YJL225C,126.299.948.542.569,YLR295C
YKR058W,573.290.479.777.183,YLR258W
YDR106W,126.299.948.542.569,YHR129C
YDR106W,573.290.479.777.183,YLR222C
YBR259W,573.290.479.777.183,YPL001W
YNL268W,544.498.967.386.216,YPL240C
YKL069W,126.299.948.542.569,YNL189W
YDR033W,544.498.967.386.216,YOR153W
YHR176W,544.498.967.386.216,YPL240C
YHR214W-A,573.290.479.777.183,YKL166C
YBL010C,59.764.790.426.787,YKR022C
YAR009C,573.290.479.777.183,YOL133W
YAR009C,363.330.446.239.122,YNL118C
YDR275W,126.299.948.542.569,YDR363W
YDR282C,573.290.479.777.183,YOR335C
YLR271W,573.290.479.777.183,YMR106C
YDR387C,363.330.446.239.122,YLR292C
YDR387C,126.299.948.542.569,YOR292C
YDL180W,544.498.967.386.216,YLR452C
YJR079W,126.299.948.542.569,YMR047C
YDR435C,126.299.948.542.569,YFL040W
YDL170W,573.290.479.777.183,YJR135C
YLR171W,126.299.948.542.569,YPR201W
YBR227C,573.290.479.777.183,YKR026C
YBR227C,573.290.479.777.183,YML064C
YBR227C,573.290.479.777.183,YGL105W
YJR127C,126.299.948.542.569,YKR086W
YLR081W,126.299.948.542.569,YLR270W
YLR081W,573.290.479.777.183,YOR181W
YJR120W,126.299.948.542.569,YLR295C
YHR136C,126.299.948.542.569,YMR246W
YHR136C,126.299.948.542.569,YOR285W
YKL001C,126.299.948.542.569,YLR288C
YKL001C,59.764.790.426.787,YNL311C
YKL001C,544.498.967.386.216,YPL240C
YDR213W,812.962.790.923.786,YHR165C
YDR445C,126.299.948.542.569,YLR295C
YDR445C,126.299.948.542.569,YER071C
YLR035C-A,573.290.479.777.183,YOL133W
YBR153W,573.290.479.777.183,YLL024C
YBR153W,573.290.479.777.183,YPL043W
YLR077W,126.299.948.542.569,YMR047C
YDL022W,544.498.967.386.216,YDR510W
YDL022W,573.290.479.777.183,YPL022W
YBR244W,126.299.948.542.569,YLR117C
YGL015C,59.764.790.426.787,YLR319C
YGL015C,573.290.479.777.183,YML093W
YOR011W,544.498.967.386.216,YPL240C
YLR110C,126.299.948.542.569,YLR453C
YBR040W,126.299.948.542.569,YCL040W
YER058W,126.299.948.542.569,YJR091C
YEL012W,126.299.948.542.569,YER022W
YGL247W,363.330.446.239.122,YOR103C
YIL024C,126.299.948.542.569,YNL092W
YDL244W,544.498.967.386.216,YPL240C
YGL117W,573.290.479.777.183,YJR022W
YER096W,363.330.446.239.122,YPR165W
YOL066C,126.299.948.542.569,YPR086W
YIR007W,573.290.479.777.183,YMR186W
YDR326C,126.299.948.542.569,YER007C-A
YDR326C,126.299.948.542.569,YIL105C
YDR326C,573.290.479.777.183,YJR035W
YHR073W,544.498.967.386.216,YHR152W
YHR073W,573.290.479.777.183,YPL043W
YBL013W,363.330.446.239.122,YBR160W
YBL013W,573.290.479.777.183,YGR192C
YCL033C,126.299.948.542.569,YKL130C
YIL039W,126.299.948.542.569,YLR453C
YGL146C,573.290.479.777.183,YOR005C
YGL146C,573.290.479.777.183,YPR137W
Q0115,812.962.790.923.786,YIR021W
YNL320W,126.299.948.542.569,YOR078W
YNL129W,126.299.948.542.569,YOR353C
YIL154C,573.290.479.777.183,YMR237W
YAL023C,544.498.967.386.216,YDL093W
YAL023C,363.330.446.239.122,YAR027W
YAL023C,812.962.790.923.786,YDL095W
YHR046C,573.290.479.777.183,YPR015C
YKR016W,126.299.948.542.569,YLR388W
YCL064C,573.290.479.777.183,YPL106C
YLR001C,126.299.948.542.569,YNL019C
YBL066C,573.290.479.777.183,YDR247W
YBL066C,363.330.446.239.122,YEL015W
YDR541C,126.299.948.542.569,YLR025W
YIL108W,126.299.948.542.569,YOR032C
YIL108W,363.330.446.239.122,YPR154W
YIL108W,573.290.479.777.183,YOL126C
YKR104W,126.299.948.542.569,YOL143C
YKR104W,363.330.446.239.122,YLR214W
YJR044C,544.498.967.386.216,YPL240C
YCR022C,126.299.948.542.569,YDL017W
YHR182W,126.299.948.542.569,YLR433C
YHR182W,573.290.479.777.183,YKR008W
YER074W-A,544.498.967.386.216,YNL263C
YIL086C,544.498.967.386.216,YPL240C
YIL086C,126.299.948.542.569,YKL007W
YGL232W,573.290.479.777.183,YOR243C
YCL020W,126.299.948.542.569,YFL002W-A
YIL032C,126.299.948.542.569,YLR295C
YGL165C,126.299.948.542.569,YOR362C
YKR070W,126.299.948.542.569,YOR299W
YBR186W,126.299.948.542.569,YGL127C
YBR186W,126.299.948.542.569,YLR373C
YJL156C,573.290.479.777.183,YLR039C
YFR023W,845.928.714.415.022,YNL186W
YOL073C,126.299.948.542.569,YOR065W
YER057C,126.299.948.542.569,YNL189W
YEL038W,126.299.948.542.569,YGL127C
YBR138C,126.299.948.542.569,YGL181W
YBR138C,126.299.948.542.569,YIL046W
YBR138C,363.330.446.239.122,YBR160W
YJL215C,126.299.948.542.569,YKR026C
YJL215C,126.299.948.542.569,YOR264W
YDR043C,544.498.967.386.216,YHL027W
YDR043C,812.962.790.923.786,YDR477W
YBR209W,126.299.948.542.569,YPR086W
YER160C,573.290.479.777.183,YMR139W
YJR034W,126.299.948.542.569,YNL236W
YLR334C,126.299.948.542.569,YOR264W
YHR045W,126.299.948.542.569,YOR128C
YKL114C,126.299.948.542.569,YOR264W
YKL114C,812.962.790.923.786,YKL164C
YPL097W,126.299.948.542.569,YPR086W
YEL044W,544.498.967.386.216,YPL129W
YDR526C,126.299.948.542.569,YJR091C
YIL158W,126.299.948.542.569,YIR002C
YDL168W,126.299.948.542.569,YER081W
YDL168W,573.290.479.777.183,YOR204W
YJL163C,363.330.446.239.122,YLL061W
YKL024C,126.299.948.542.569,YLR288C
YDR253C,812.962.790.923.786,YNL103W
Q0050,573.290.479.777.183,YER142C
YKR093W,363.330.446.239.122,YPR079W
YKR093W,544.498.967.386.216,YOR153W
YKR074W,126.299.948.542.569,YLR446W
YBL006C,126.299.948.542.569,YDR489W
Q0160,544.498.967.386.216,YBL075C
YGL018C,126.299.948.542.569,YHR114W
YDR380W,126.299.948.542.569,YOR382W
YGR207C,126.299.948.542.569,YPR086W
YDL035C,544.498.967.386.216,YPL268W
YDL035C,995.237.017.513.303,YER020W
YHR039C,126.299.948.542.569,YOR264W
YHR039C,573.290.479.777.183,YLL024C
YJR152W,544.498.967.386.216,YPL240C
YJR152W,363.330.446.239.122,YPR003C
YJR038C,126.299.948.542.569,YMR203W
YJR038C,126.299.948.542.569,YJR091C
YEL075C,126.299.948.542.569,YJR091C
YGL032C,126.299.948.542.569,YGR257C
YER041W,573.290.479.777.183,YLR449W
YER041W,573.290.479.777.183,YKR081C
YCR003W,126.299.948.542.569,YIR039C
YJL209W,544.498.967.386.216,YLR067C
YAL066W,126.299.948.542.569,YJR091C
YGR230W,544.498.967.386.216,YJL092W
YCL065W,126.299.948.542.569,YLR374C
YDL011C,126.299.948.542.569,YOR046C
YDL011C,126.299.948.542.569,YEL023C
YML066C,544.498.967.386.216,YPL240C
YDR542W,126.299.948.542.569,YOR187W
YDR215C,126.299.948.542.569,YPL175W
YDR215C,126.299.948.542.569,YKR024C
YLL002W,845.928.714.415.022,YNL246W
YDR530C,126.299.948.542.569,YLR295C
YIL037C,573.290.479.777.183,YMR059W
YIL085C,126.299.948.542.569,YLR325C
YBL043W,126.299.948.542.569,YDR099W
YBL043W,126.299.948.542.569,YBL100W-A
YBR132C,363.330.446.239.122,YHR042W
YBR132C,544.498.967.386.216,YPL240C
YGL204C,126.299.948.542.569,YMR209C
YGL204C,126.299.948.542.569,YJR091C
YGR064W,126.299.948.542.569,YJR091C
YIL042C,363.330.446.239.122,YJL124C
YDR322C-A,544.498.967.386.216,YJR121W
YLR348C,544.498.967.386.216,YOR297C
YLR089C,573.290.479.777.183,YLR259C
YBR265W,573.290.479.777.183,YLR075W
YBR265W,126.299.948.542.569,YLR255C
YBR265W,126.299.948.542.569,YCR107W
YGR197C,363.330.446.239.122,YOR327C
YBR150C,573.290.479.777.183,YPR110C
YOR193W,544.498.967.386.216,YPL112C
YER186C,126.299.948.542.569,YKR026C
YDR011W,544.498.967.386.216,YOR153W
YDR345C,363.330.446.239.122,YLL006W
YDR345C,126.299.948.542.569,YOR047C
YDR370C,126.299.948.542.569,YFL049W
YIL167W,544.498.967.386.216,YPL240C
YBL020W,126.299.948.542.569,YPR086W
YBL020W,544.498.967.386.216,YDL140C
YLR366W,59.764.790.426.787,YMR242C
YGR139W,126.299.948.542.569,YMR047C
YKL140W,573.290.479.777.183,YPL204W
YIR016W,126.299.948.542.569,YNL161W
YKL107W,126.299.948.542.569,YLR288C
YLR327C,59.764.790.426.787,YMR312W
YCL048W,544.498.967.386.216,YPL240C
YBR157C,126.299.948.542.569,YGL070C
